locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
pid,Piaroa,皮亚罗亚语,Piaroa,بيارو,Piaroa,Πιαρόα,piaroa,Piaroa,Piaroa,पियारोआ,piaroa,piaroa,Piaroa,Piaroa,ピアロア語,피아로아어,Piaroa,Piaroa,piaroa,Piaroa,Piaroa,пиароа,piaroa,Kipiaroa,Piaroa,ปีอาโรอา,Piaroa,Piaroa,piaroa,piaroa
wes,Pidgin (Cameroon),皮钦语（喀麦隆）,Pidgin (Kameroen),هجينية الكاميرون,Kamerun-Krio,Πίτζιν (Καμερούν),pidgin (Kamerun),Pidgin camerounais,Pidgin (Cameroon),पिज़िन (केमरून),pidžin (Kamerun),kameruni pidzsin,Pijin (Kamerun),Pidgin del Camerun,ピジン語（カメルーン）,피진어 (카메룬),Pidgin (Kameroen),Pidgin (Kamerun),pidżyn (Kamerun),Pidgin (Camarões),Pidgin (Camerun),пиджин (Камерун),pidgin camerunés,Kipijini (cha Kamerun),Pidgin (Kamerun),พิดจิน (แคเมอรูน),Picin (Kamerun),Pidgin (Cameroon),pidgin anglès del Camerun,Pidžin (Kamerun)
wes-x-pgw,Pidgin (West Africa),皮钦语（西非）,Pidgin (Wes-Afrika),الهجين (غرب افريقيا),Pidgin (Westafrika),Πίτζιν (Δυτική Αφρική),pidgin (Länsi-Afrikka),Pidgin d'Afrique de l'Ouest,Pidgin (West Africa),Pidgin (West Africa),pidžin (zapadna Afrika),nyugat-afrikai pidzsin,Pijin (Afrika Barat),Pidgin (Africa occidentale),ピジン語（西アフリカ）,피진어 (서아프리카),Pidgin (West-Afrika),Pidgin (Vest-Afrika),pidżyn (Afryka Zachodnia),Pidgin (África Ocidental),Pidgin (Africa de Vest),пиджин (Западная Африка),pidgin (oeste de África),Pidgin (West Africa),Pidgin (Västafrika),พิดจิน (แอฟริกาตะวันตก),Pidgin (West Africa),Pidgin (West Africa),pidgin anglès de l’Àfrica Occidental,zapadnoafrički pidžin
plg,Pilagá,皮拉加语,Pilagá,البيلاغا,Pilagá,Πιλαγά,pilaga,Pilagá,Pilagá,पीलागा,pilagá,pilaga,Pilagá,Pilagá,ピラガ語,삘라가어,Pilagá,Pilagá,pilaga,Pilagá,Pilagá,пилага,pilagá,Kipilagá,Pilagá,ปีลากา,Pilaga Dili,Pilagá,pilagà,pilaga
pjt,Pitjantjatjara,皮詹贾贾拉语,Pitjantjatjara,البيتجانتجاتجارا,Pitjantjatjara,Πιτζαντζατζάρα,pitjantjatjara,Pitjantjatjara,Pitjantjatjara,पिच्चनचारा,pitjantjatjara,pityantyatyara,Pitjantjatjara,Pitjantjatjara,ピチャンチャチャラ語,피찬차차라어,Pitjantjatjara,Pitjantjatjara,pitjantjatjara,Pitjantjatjara,Pitjantjatjara,питьянтьятьярра,pitiantiatiara,Kipitjantjatjara,Pitjantjatjara,ปิตจันต์จัตจารา,Pitjantjatjara Dili,Pitjantjatjara,pitjantjatjara,piđanđara
pl,Polish,波兰语,Pools,البولندية,Polnisch,Πολωνική,puola,Polonais,Polainnis,पोलिश,poljski,lengyel,Polski,Polacco,ポーランド語,폴란드어,Pools,Polsk,polski,Polonês,Poloneză,польский,polaco,Kipolishi,Polska,โปแลนด์,Lehçe,Ba Lan,polonès,poljski
pso,Polish Sign Language,波兰手语,Poolse Gebaretaal,لغة الاشارات البولندية,Polnische Gebärdensprache,Πολωνική Νοηματική Γλώσσα,puolalainen viittomakieli,Langue des signes polonaise,Teanga Chomharthaíochta na Polainne,पोलिश साइन लैंग्वेज,poljski znakovni jezik,lengyel jelnyelv,Bahasa Isyarat Polski,Lingua dei segni polacca,ポーランド手話,폴란드 수어,Poolse Gebarentaal,Polsk tegnspråk,polski język migowy,Língua de sinais polonesa,Limbajul semnelor polonez,польский жестовый,lenguaje de señas polaco,Lugha ya Ishara ya Poland,Polskt teckenspråk,ภาษามือโปแลนด์,Leh İşaret Dili,Ba Lan (Ngôn ngữ ký hiệu),llengua de signes polonesa,poljski znakovni jezik
nds,Pomeranian,波美拉尼亚语,Pommers,البوميرانية,Pomoranisch,Πομερανιανή,pommeri,Poméranien,Pomeranian,पोमेरानियन,pomeranski,pomerán,Pomerania,Pomerano,ポメラニア語,포메라니아어,Pommers,Pommersk,dolnoniemiecki (zachodniopomorski),Pomerano,Pomeranian,померанский,pomeranio,Kipomeranian,Pomoranska,โปเมราเนียน,Pomeranian,Pomeranian,pomeranià,pomeranski
pon,Ponapean,波纳佩语,Ponapeaans,البونابية,Ponapeanisch,Ποναπική,ponape,Ponape,Ponapean,पोनापियन,ponapeški,ponapei,Ponape,Ponapese,ポナペ語,포나페어,Ponapeaans,Ponapisk,ponapeański,Ponapeano,Ponapeană,понапе,ponapés,Kiponape,Pohnpeiska,โปนาเป,Pohnpe,Ponap,ponapeà,ponapeanski
poi,Popoluca (Highland),波波卢卡语（高地）,Popoluca (Hoogland),بوبولوكا (هايلاند),Sierra-Popoluca,Ποπολούκα (Υψίπεδα),popoluca (ylänkömaa),Popoluca de la Sierra,Popoluca,पोपोलूका,popoluka (Sierra),popoluka (hegyvidéki),Popoluca (Dataran Tinggi),Popoluca della Sierra,高地ポポルカ語,포폴루카어 (고지),Popoluca (hoogvlakte),Popoluca (høyland),popoluca (de la Sierra),Popoluca (do alto),Sierra Popoluca,пополука (горный),popoluca de la Sierra,Kipopoluka,Popoluca (höglandet),โปโปลูกา (ภูเขา),Popoluka Dili (Dağlık),Popoluca (Highland),popoluca,Popoluca (Highland)
jac-x-jc,Popti',哈卡尔特克语,Popti',بوبتي,Jakaltekisch,Πόπτι,popti,Popti’,Popti',Popti',popti',jukaték,Popti',Popti’,ポプティ語,폽티어,Popti',Popti’,popti',Popti,Popti',попти,poptí,Popti',Popti',ป็อปติ,Popti',Popti',poptí,Popti
poh,Poqomchi',波孔奇语,Poqomchi',بوكومشي,Pokonchi,Ποκομτσί,poqomchi,Pocomchí,Poqomchi',पोकोम्ची',pokomči,pokomcsi,Poqomchi',Poqomchi',ポコムチ語,포콤치어,Poqomchi',Poqomchi’,pokonchi,Pogomchi’,Poqomchi',покомчи,pocomchí,Kipoqomchi',Poqomchi',โปกอมชิ,Poqomchi',Poqomchi',poqomchi',pokomči
pt-ao,Portuguese (Angola),葡萄牙语（安哥拉）,Portugees (Angola),البرتغالية (أنغولا),Portugiesisch (Angola),Πορτογαλική (Ανγκόλα),portugali (Angola),Portugais d'Angola,Portuguese (Angola),Portuguese (Angola),portugalski (Angola),portugál (Angola),Portugis (Angola),Portoghese (Angola),ポルトガル語（アンゴラ）,포르투갈어 (앙골라),Portuguese (Angola),Portugisisk (Angola),portugalski (Angola),Português (Angola),Portugheză (Angola),португальский (Ангола),portugués (angola),Portuguese (Angola),Portugisiska (Angola),โปรตุเกส (แองโกลา),Portuguese (Angola),Portuguese (Angola),portuguès (Angola),portugalski (Angola)
pt,Portuguese (Brazil),葡萄牙语（巴西）,Portugees (Brasilië),البرتغالية (البرازيل),Portugiesisch (Brasilien),Πορτογαλική (Βραζιλία),portugali (Brasilia),Portugais du Brésil,Portaingéilis,पुर्तगाली,portugalski (Brazil),portugál (Brazília),Portugis (Brasil),Portoghese (Brasile),ポルトガル語（ブラジル）,포르투갈어 (브라질),Portugees (Brazilië),Portugisisk (Brasil),portugalski (Brazylia),Português (Brasil),Portugheză (Brazilia),португальский (Бразилия),portugués de Brasil,Kireno,Portugisiska (Brasilien),โปรตุเกส (บราซิล),Portekizce,Bồ Đào Nha,portuguès (Brasil),portugalski (Brazil)
pt-mz,Portuguese (Mozambique),葡萄牙语（莫桑比克）,Portugees (Mosambiek),البرتغالية (موزمبيق),Portugiesisch (Mosambik),Πορτογαλική (Μοζαμβίκη),portugali (Mosambik),Portugais du Mozambique,Portuguese (Mozambique),Portuguese (Mozambique),portugalski (Mozambik),portugál (Mozambik),Portugis (Mozambik),Portoghese (Mozambico),ポルトガル語（モザンビーク）,포르투갈어 (모잠비크),Portuguese (Mozambique),Portugisisk (Mosambik),portugalski (Mozambik),Português (Moçambique),Portugheză (Mozambic),португальский (Мозамбик),portugués de Mozambique,Portuguese (Mozambique),Portugisiska (Moçambique),โปรตุเกส (โมซัมบิก),Portuguese (Mozambique),Portuguese (Mozambique),portuguès (Moçambic),portugalski (Mozambik)
pt-pt,Portuguese (Portugal),葡萄牙语（葡萄牙）,Portugees (Portugal),البرتغالية (البرتغال),Portugiesisch (Portugal),Πορτογαλική (Πορτογαλία),portugali (Eurooppa),Portugais du Portugal,Portaingéilis (an Phortaingéil),पुर्तगाली (पुर्तगाल),portugalski (Portugal),portugál (Portugália),Portugis (Portugal),Portoghese (Portogallo),ポルトガル語（ポルトガル）,포르투갈어 (포르투갈),Portugees (Portugal),Portugisisk (Portugal),portugalski (Portugalia),Português (Portugal),Portugheză (Portugalia),португальский (Португалия),portugués de Portugal,Kireno (Ureno),Portugisiska (Portugal),โปรตุเกส (โปรตุเกส),Portekizce (Portekiz),Bồ Đào Nha (tại Bồ Đào Nha),portuguès (Portugal),portugalski (Portugal)
psr,Portuguese Sign Language,葡萄牙手语,Portugese Gebaretaal,لغة الاشارات البرتغالية,Portugiesische Gebärdensprache,Πορτογαλική Νοηματική Γλώσσα,portugalilainen viittomakieli,Langue des signes portugaise,Teanga Chomharthaíochta na Portaingéile,पुर्तगाली साइन लैंग्वेज,portugalski znakovni jezik,portugál jelnyelv,Bahasa Isyarat Portugis,Lingua dei segni portoghese,ポルトガル手話,포르투갈 수어,Portugese Gebarentaal,Portugisisk tegnspråk,portugalski język migowy,Língua gestual portuguesa,Limbajul semnelor portughez,португальский жестовый,lenguaje de señas portugués,Lugha ya Ishara ya Ureno,Portugisiskt teckenspråk,ภาษามือโปรตุเกส,Portekiz İşaret Dili,Bồ Đào Nha (Ngôn ngữ ký hiệu),llengua de signes portuguesa,portugalski znakovni jezik
fuf,Pular,普拉尔语,Foela (Foeta Djalon),البولار,Fula,Πούλαρ,pular,Poular,Pular,पूलार,pular,pular,Pular,Pular,プラール語,풀라르어,Pular,Pular,pular,Pular,Pular,пулар,pular,Kipular,Pular,ปูลาร์,Pular Dili,Pular,pular,pular
pa,Punjabi,旁遮普语,Pandjabi,البنجابية,Panjabi,Παντζάμπι,pandžabi,Pendjabi,Puinseáibis,पंजाबी,pendžapski,pandzsábi,Punjabi,Punjabi,パンジャブ語,펀자브어,Punjabi,Panjabi,pendżabski,Punjabi,Punjabi,панджаби,punyabí,Kipunjabi,Punjabi (gurmukhisk skrift),ปัญจาบี,Pencap Dili,Punjabi,panjabi,pandžapski
pa-latn,Punjabi (Roman),旁遮普语（拉丁字母）,Pandjabi (Romeins),البنجابية (لاتينية),Panjabi (lateinische Schrift),Παντζάμπι (λατινικό αλφάβητο),pandžabi (latin.),Pendjabi (latin),Punjabi (Roman),Punjabi (Roman),pendžapski (latinica),pandzsábi (latin betűs),Punjabi (Romawi),Punjabi (caratteri latini),パンジャブ語（ローマ字）,펀자브어 (로마자),Punjabi (Roman),Panjabi (latinsk skrift),pendżabski (alfabet łaciński),Punjabi (Romano),Punjabi (alfabet latin),панджаби (латиница),punyabí (alfabeto latino),Punjabi (Roman),Punjabi (latinsk skrift),ปัญจาบี (โรมัน),Punjabi (Roman),Punjabi (Roman),panjabi (alfabet llatí),pandžapski (latinica)
pnb,Punjabi (Shahmukhi),旁遮普语（沙穆希字母）,Pandjabi (Shahmukhi),البنجابية (شاه مُكهي),Panjabi (Nastalikschrift),Παντζάμπι (Σαχμούχι),pandžabi (shahmukhi),Pendjabi (shahmukhi),Puinseáibis (Shahmukhi),पंजाबी (शाहमुखी),pendžapski (šamuki),pandzsábi (shahmukhi),Punjabi (Shahmukhi),Punjabi (caratteri shahmukhi),パンジャブ語（シャームキー文字）,펀자브어 (사무크히),Punjabi (Shahmukhi),Panjabi (shahmukhi),pendżabski (pismo szachmukhi),Punjabi shahmukhi,Punjabi (alfabet shahmukhi),панджаби (шахмукхи),punyabí (alfabeto shahmukhi),Kipunjabi (cha Shahmukhi),Punjabi (arabisk-persisk/shahmukhisk skrift),ปัญจาบี (ชาห์มุขี),Pencap Dili (Shahmukhi),Punjabi (Nastaliq),panjabi (alfabet xahmukhi),pandžapski (šahmuki pismo)
puu,Punu,普努语,Punu,بونو,Punu,Πούνου,punu,Punu,Punu,Punu,punu,punu,Punu,Punu,プヌ語,푸누어,Punu,Punu,punu,Punu,yiPunu,пуну,punu,Punu,Punu,ปูนู,Punu,Punu,punu,Punu
pyu,Puyuma,卑南语,Poejoema,بويوما,Puyuma,Πουγιούμα,puyuma,Puyuma,Puyuma,प्यूमा,puyuma,pyuma,Puyuma,Puyuma,プユマ語,푸유마어,Puyuma,Puyuma,puyuma,Puyuma,Puyuma,пуюма,puyuma,Kipuyuma,Puyuma,ปูยูมา,Puyuma,Puyuma,puyuma,pujuma
pbb,Páez,帕埃斯语,Páez,باييز,Páez,Πάες,paez,Paez,Páez,प्आज़,páez,paez,Páez,Páez,パエス語,파에즈어,Páez,Páez,paez,Páez,Páez,паэс,nasa yuwe,Kipáez,Páez,ปาเอซ,Páez,Páez,páez,paez
kjb,Q'anjob'al,坎合巴语,Q'anjob'al,الكانهوبالية,Kanjobal,Καντζομπάλ,qanjobal,Q’anjob’al,Q'anjob'al,क्आनजोबाल,kanjobal,kanhobal,Kanjobal,Q'anjob'al,カンホバル語,콴조발어,Q'anjob'al,Q’anjob’al,kanjobal (USA),Q'anjob'al,Kanjobal,канхобаль,kanjobal,Q'anjob'al,Kanjobal,คานโจบาล,Q'anjob'al,Q'anjob'al,q’anjob’al,kanhobalski
fcs,Quebec Sign Language,加拿大魁北克手语,Quebecse Gebaretaal,لغة الاشارات الكيبكية,Frankokanadische Gebärdensprache,Νοηματική Γλώσσα του Κεμπέκ,quebeciläinen viittomakieli,Langue des signes québécoise,Teanga Chomharthaíochta Quebec,क्यूबेक साइन लैंग्वेज,kvebečki znakovni jezik,québeci jelnyelv,Bahasa Isyarat Quebec,Lingua dei segni quebecchese,ケベック手話,퀘벡 수어,Quebecse Gebarentaal,Quebekisk tegnspråk,język migowy Quebecu,Língua de sinais quebequense,Limbajul semnelor din Quebec,квебекский жестовый,lenguaje de señas de Quebec,Lugha ya Ishara ya Quebec,Quebeciskt teckenspråk,ภาษามือควิเบก,Québec İşaret Dili,Quebec (Ngôn ngữ ký hiệu),llengua de signes quebequesa,kvibečki znakovni jezik
que,Quechua (Ancash),克丘亚语（安卡什）,Quechua (Ancash),كتشوا (انكاش),Quechua (Ancash),Κέτσουα (Άνκας),ketšua (Ancash),Quechua d'Ancash,Ceatsuais (Ancash),केचुआ (अन्काश),kečuanski (Ancash),kecsua (ankas),Quechua (Ancash),Quechua (Ancash),ケチュア語（アンカシュ）,케추아어 (앙카시),Quechua (Ancash),Quechua (Ancash),keczua (Ancash),Quéchua (Ancash),Quechua (Ancash),кечуа (Анкаш),quechua ancashino,Kikwechua (cha Ancash),Quechua (Ancash),เกชัว (อังกัช),Keçuva Dili (Ancash),Quechua (Ancash),quítxua (Ancash),kečua (Ankas)
quy,Quechua (Ayacucho),克丘亚语（阿亚库乔）,Quechua (Ayacucho),كتشوا (اياكوتشو),Quechua (Ayacucho),Κέτσουα (Αγιακούτσο),ketšua (Ayacucho),Quechua d'Ayacucho,Ceatsuais (Ayacucho),केचुआ (आयाकूचो),kečuanski (Ayacucho),kecsua (ajakucso),Quechua (Ayacucho),Quechua (Ayacucho),ケチュア語（アヤクチョ）,케추아어 (아야쿠초),Quechua (Ayacucho),Quechua (Ayacucho),keczua (Ayacucho),Quéchua (Ayacucho),Quechua (Ayacucho),кечуа (Аякучо),quechua ayacuchano,Kikwechua (cha Ayacucho),Quechua (Ayacucho),เกชัว (อายากูโช),Keçuva Dili (Ayakuço),Quechua (Ayacucho),quítxua (Ayacucho),kečua (Ajakučo)
qu,Quechua (Bolivia),克丘亚语（玻利维亚）,Quechua (Bolivia),كتشوا (بوليفيا),Quechua (Bolivien),Κέτσουα (Βολιβία),ketšua (Bolivia),Quechua de Bolivie,Ceatsuais (an Bholaiv),केचुआ (बोलीविया),kečuanski (Bolivija),kecsua (Bolívia),Quechua (Bolivia),Quechua (Bolivia),ケチュア語（ボリビア）,케추아어 (볼리비아),Quechua (Bolivia),Quechua (Bolivia),keczua (Boliwia),Quéchua (Bolívia),Quechua (Bolivia),кечуа (Боливия),quechua boliviano,Kikwechua (cha Bolivia),Quechua (Bolivia),เกชัว (โบลิเวีย),Keçuva Dili (Bolivya),Quechua (Bolivia),quítxua (Bolívia),kečua (Bolivija)
quz,Quechua (Cuzco),克丘亚语（库斯科）,Quechua (Cuzco),كتشوا (كوسكو),Quechua (Cuzco),Κέτσουα (Κούσκο),ketšua (Cuzco),Quechua de Cuzco,Ceatsuais (Cuscó),केचुआ (कूसको),kečuanski (Cuzco),kecsua (cuzcói),Quechua (Cuzco),Quechua (Cuzco),ケチュア語（クスコ）,케추아어 (쿠스코),Quechua (Cuzco),Quechua (Cuzco),keczua (Cuzco),Quéchua (Cuzco),Quechua (Cuzco),кечуа (Куско),quechua cuzqueño,Kikwechua (cha Cuzco),Quechua (Cuzco),เกชัว (กุซโก),Keçuva Dili (Cuzco),Quechua (Cuzco),quítxua (Cusco),kečua (Kusko)
qub,Quechua (Huallaga Huánuco),克丘亚语（瓦利亚加瓦努科）,Quechua (Huallaga Huánuco),كتشوا (هوالاغا وانوكو),Huallaga-Quechua,Κέτσουα (Χουαλάγκα Χουανούκο),ketšua (Huallaga Huánuco),Quechua huallaga de Huánuco,Quechua (Huallaga Huánuco),केचुआ (हुआलागा हुआनको),kečuanski (huallaga huánuco),"kecsua (valjaga vanuko, Peru)",Quechua (Huallaga Huánuco),Quechua (Huallaga Huánuco),ケチュア語（フアヤガ・フアヌコ）,케추아어 (우아야가 우아누코),Quechua (Huallaga Huánuco),Quechua (Huallaga Huánuco),keczua (Huallaga Huánuco),Quéchua (Huallaga Huánuco),Quechua (Huallaga Huánuco),кечуа (Уальяга Уануко),quechua de Huánuco (Huallaga),Kiquechua (Huallaga Huánuco),Quechua (Huallaga Huánuco),เกชัว (อัวยากา อัวนูโก),Keçuva (Huallaga Huánuco),Quechua (Huallaga Huánuco),"quítxua (Huallaga, Huánuco)",kečua (ualaga uanuko)
qvw,Quechua (Huaylla Wanca),克丘亚语（花维拉万卡）,Quechua (Huaylla Wanca),كتشوا (هيوايلا وانكا),Wanka-Quechua,Κέτσουα (Χουαΐλα Γουάνκα),ketšua (Huaylla Wanca),Quechua wanca huaylla,Quechua (Huaylla Wanca),कीचुआ (हुआला वांका),kečuanski (huaylla wanca),kecsua (vajla vanka),Quechua (Huaylla Wanca),Quechua (huaylla huanca),ケチュア語（ワイリャ・ワンカ）,케추아어 (화일라 완카),Quechua (Huaylla Wanca),Quechua (Huaylla Wanca),keczua (Huaylla Wanca),Quéchua (Huaylla Wanca),Quechua (Huaylla Wanca),кечуа (уалья-уанка),quechua huaylla huanca,Kiquechua (Huaylla Wanca),Quechua (Huaylla Wanca),เกชัว (ฮวยยาวันกา),Quechua (Huaylla Wanca),Quechua (Huaylla Wanca),quítxua (Huaylla Wanca),kečua (uajla vanka)
quf,Quechua (Lambayeque),克丘亚语（兰巴耶克）,Quechua (Lambayeque),كتشوا (لامباييك),Quechua (Lambayeque),Κέτσουα (Λαμπαγιέκε),ketšua (Lambayeque),Quechua de Lambayeque,Quechua (Lambayeque),Quechua (Lambayeque),kečuanski (Lambayeque),lambajekei kecsua,Quechua (Lambayeque),Quechua (Lambayeque),ケチュア語（ランバエケ）,케추아어 (람바예케),Quechua (Lambayeque),Quechua (Lambayeque),keczua (Lambayeque),Quéchua (Lambayeque),Quechua (Lambayeque),кечуа (Ламбаеке),quechua (lambayeque),Quechua (Lambayeque),Quechua (Lambayeque),เกชัว (ลามบาเยเก),Quechua (Lambayeque),Quechua (Lambayeque),quítxua (Lambayeque),Kečua (Lambajeke)
quc,Quiche,基切语,Quiché,الكيتشية,Quiché,Κιτσέ,kiche,Quiché,Quiche,कीश,kiče,kicse,Quiche,Quiché,キチェ語,키체어,Quiché,K’iche’,kicze,Quiché,Quiche,киче,quiché,Kiquiche,Quiché,กีเช,Kiçe,Quiche,quiche,kiče
qxr,Quichua (Cañar),奎楚阿语（卡尼亚尔）,Quichua (Cañar),الكيتشوا (كانار),Quichua (Cañar),Κίτσουα (Κανάρ),kitšua (Cañar),Quichua de Cañar,Quichua (Cañar),Quichua (Cañar),kečuanski (Cañar),kicsua (kanyar),Quichua (Cañar),Quichua (Cañar),キチュア語（カニャル）,키추아어 (카나르),Quichua (Cañar),Quechua (Cañar),keczua (Cañar),Quíchua (Cañar),Quichua (Cañar),кечуа (Каньяр),quichua de Cañar,Quichua (Cañar),Quichua (Cañar),กีชัว (กายาร์),Keçuva (Cañar),Quichua (Cañar),quítxua (Cañar),Quichua (Cañar)
qu-x-qib,Quichua (Chibuleo),克丘亚语（奇布莱奥）,Quechua (Chibuleo),كيتشوا (تشيبوليو),Quichua (Chibuleo),Κίτσουα (Τσιμπουλέο),kitšua (Chibuleo),Quichua chibuleo,Quichua (Chibuleo),केचुआ (चीबुलिओ),kečuanski (Chibuleo),kicsua (csibuleo),Quichua (Chibuleo),Quichua (Chibuleo),キチュア語（チブレオ）,키추아어 (치불레오),Quichua (Chibuleo),Quechua (Chibuleo),keczua (Chibuleo),Quichua (Chibuleo),Quichua (chibuleo),кечуа (чибулео),quichua de Chibuleo,Kikwichua (Chibuleo),Quichua (Chibuleo),คิชัว (ชิบูเลียว),Keçuva (Chibuleo),Quichua (Chibuleo),quítxua (Chibuleo),kečua (čibuleo)
qug,Quichua (Chimborazo),克丘亚语（钦博拉索）,Quechua (Chimborazo),الكيتشوا (شيمبورازو),Quichua (Chimborazo),Κίτσουα (Τσιμποράσο),kitšua (Chimborazo),Quichua de Chimborazo,Quichua (Chimborazo),कीचुआ (चीम्बोराज़ो),kečuanski (Chimborazo),kicsua (csimborazo),Quichua (Chimborazo),Quichua (Chimborazo),キチュア語（チンボラソ）,키추아어 (침보라소),Quichua (Chimborazo),Quechua (Chimborazo),keczua (Chimborazo),Quíchua (Chimborazo),Quichua (chimborazo),кечуа (Чимборасо),quichua de Chimborazo,Kikwichua (Chimborazo),Quichua (Chimborazo),คิชัว (ชิมโบราโซ),Keçuva dili (Chimborazo),Quichua (Chimborazo),quítxua (chimborazo),kečua (Čimborazo)
qug-x-qix,Quichua (Cotopaxi),克丘亚语（科托帕希）,Quichua (Cotopaxi),كيتشوَا (كوتوباكسي),Quichua (Cotopaxi),Κίτσουα (Κοτοπάξι),kitšua (Cotopaxi),Quichua de Cotopaxi,Quichua (Cotopaxi),Quichua (Cotopaxi),kečuanski (Cotopaxi),kicsua (Cotopaxi),Quichua (Cotopaxi),Quichua (Cotopaxi),キチュア語（コトパクシ）,키추아어 (코토팍시),Quichua (Cotopaxi),Quechua (Cotopaxi),keczua (Cotopaxi),Quíchua (Cotopaxi),Quichua (Cotopaxi),кечуа (Котопахи),quichua de cotopaxi,Quichua (Cotopaxi),Quichua (Cotopaxi),กีชัว (โกโตปากซี),Quichua (Cotopaxi),Quichua (Cotopaxi),Quichua (Cotopaxi),Kečua (Kotopaksi)
qvi,Quichua (Imbabura),克丘亚语（因巴布拉）,Quechua (Imbabura),الكيتشوا (امبابورا),Quichua (Imbabura),Κίτσουα (Ιμπαμπούρα),kitšua (Imbabura),Quichua d'Imbabura,Quichua (Imbabura),कीचुआ (इम्बाबूरा),kečuanski (Imbabura),kicsua (imbabura),Quichua (Imbabura),Quichua (Imbabura),キチュア語（インバブラ）,키추아어 (임바부라),Quichua (Imbabura),Quechua (Imbabura),keczua (Imbabura),Quíchua (Imbabura),Quichua (Imbabura),кечуа (Имбабура),quichua de Imbabura,Kikwichua (Imbabura),Quichua (Imbabura),คิชัว (อิมบาบูรา),Keçuva dili (Imbabura),Quichua (Imbabura),quítxua (imbabura),kečua (Imbabura)
qvz,Quichua (Pastaza),克丘亚语（帕斯塔萨）,Quechua (Pastaza),الكيتشوا (باستازا),Quichua (Pastaza),Κίτσουα (Παστάσα),kitšua (Pastaza),Quichua de Pastaza,Quichua (Pastaza),कीचुआ (पासताज़ा),kečuanski (Pastaza),kicsua (pastaza),Quichua (Pastaza),Quichua (Pastaza),キチュア語（パスタサ）,키추아어 (파스타사),Quichua (Pastaza),Quechua (Pastaza),keczua (Pastaza),Quíchua (Pastaza),Quichua (Pastaza),кечуа (Пастаса),quichua de Pastaza,Kikwichua (Pastaza),Quichua (Pastaza),คิชัว (ปาสตาซา),Keçuva dili (Pastaza),Quichua (Pastaza),quítxua (pastaza),kečua (Pastaza)
qu-x-qxl,Quichua (Salasaca),奎楚阿语（萨拉萨卡）,Quichua (Salasaca),الكيتشوا (سالاساكا),Quichua (Salasaca),Κίτσουα (Σαλασάκα),kitšua (Salasaca),Quichua de Salasaca,Quichua (Salasaca),Quichua (Salasaca),kečuanski (Salasaca),kicsua (szalaszaka),Quichua (Salasaca),Quichua (Salasaca),キチュア語（サラサカ）,키추아어 (살라사카),Quichua (Salasaca),Quechua (Salasaca),keczua (Salasaca),Quíchua (Salasaca),Quichua (Salasaca),кечуа (Саласака),quichua de Salasaca,Quichua (Salasaca),Quichua (Salasaca),กีชัว (ซาลาซากา),Keçuva (Salasaca),Quichua (Salasaca),quítxua (Salasaca),Quichua (Salasaca)
qus,Quichua (Santiago del Estero),克丘亚语（圣地亚哥－德尔埃斯特罗）,Quechua (Santiago del Estero),الكيتشوا (سانتياغو ديل استيرو),Quichua (Santiago del Estero),Κίτσουα (Σαντιάγκο ντελ Εστέρο),kitšua (Santiago del Estero),Quichua de Santiago del Estero,Quichua (Santiago del Estero),कीचुआ (सैंटियागो डेल एसतेरो),kečuanski (Santiago del Estero),kicsua (Santiago del Estero),Quichua (Santiago del Estero),Quichua (Santiago del Estero),キチュア語（サンティアゴ・デル・エステロ）,키추아어 (산티아고델에스토로),Quichua (Santiago del Estero),Quechua (Santiago del Estero),keczua (Santiago del Estero),Quíchua (Santiago del Estero),Quichua (Santiago del Estero),кечуа (Сантьяго-дель-Эстеро),quichua de Santiago del Estero,Kikwichua (Santiago del Estero),Quichua (Santiago del Estero),คิชัว (ซานตีอาโก เดล เอสเตโร),Keçuva dili (Santiago del Estero),Quichua (Santiago del Estero),quítxua (santiago del estero),kečua (Santijago del Estero)
quw,Quichua (Tena),克丘亚语（特纳）,Quechua (Tena),الكيتشوا (تينا),Quichua (Tena),Κίτσουα (Τένα),kitšua (Tena),Quichua de Tena,Quichua (Tena),कीचुआ (टेना),kečuanski (Tena),kicsua (tena),Quichua (Tena),Quichua (Tena),キチュア語（テナ）,키추아어 (테나),Quichua (Tena),Quechua (Tena),keczua (Tena),Quíchua (Tena),Quichua (tena),кечуа (Тена),quichua de Tena,Kikwichua (Tena),Quichua (Tena),คิชัว (เตนา),Keçuva dili (Tena),Quichua (Tena),quítxua (tena),kečua (Tena)
fij-x-fnr,Ra,拉语,Ra,را,Ra,Ρα,ra,Ra,Ra,Ra,ra,ra,Ra,Figiano (Ra),ラ語,라어,Ra,Ra,ra,Ra,Ra,ра,ra,Ra,Ra,รา,Ra,Ra,Ra,ra
rap,Rapa Nui,拉帕努伊语,Rapa Nui,الربا نوي,Rapanuianisch,Ράπα Νούι,rapanui,Rapanui,Rapa Nui,रापा नुई,rapanui,rapanui,Rapa Nui,Rapa nui,ラパ･ニュイ語,라파누이어,Rapa Nui,Rapa nui,rapanuański,Rapanui,Rapanui,рапануи,rapa nui,Kirapa Nui,Rapa nui,ราปานุย,Rapa Nui Dili,Rapa Nui,rapanui,rapanui
