word,phonetic,translation
ranking,'ræŋkiŋ,"n. 等级, 地位\na. 上级的, 头等的, 超群的"
rankle,'ræŋkl,"vi. 化脓, 怨恨\nvt. 使怨恨"
ransack,'rænsæk,"vt. 到处搜索, 遍寻, 掠夺, 洗劫\n[法] 洗劫, 抢劫, 掠夺"
ransacked,ˈrænˌsækt,"v. 彻底搜查( ransack的过去式和过去分词 ); 抢劫, 掠夺"
ransom,'rænsәm,"n. 赎金, 赎身, 赎回\nvt. 赎, 赎身, 赎回, 勒索赎金"
rant,rænt,"v. 咆哮, 痛骂\nn. 咆哮, 大话"
ranter,'ræntә,n. 喧嚣夸张地说话的人
ranting,ræntɪŋ,v. 夸夸其谈( rant的现在分词 ); 大叫大嚷地以…说教; 气愤地)大叫大嚷; 不停地大声抱怨
ranula,'rænjulә,[医] 舌下囊肿
rap,ræp,"n. 轻敲, 拍击, 责骂, 无价值的东西\nvt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷\nvi. 敲击, 发敲击声, 交谈, 同情\n[计] 随机存取程序, 资源分配处理器, 常驻汇编程序"
rapacious,rә'peiʃәs,"a. 强夺的, 贪欲的, 贪婪的"
rapacity,rә'pæsiti,"n. 抢夺, 贪欲, 贪婪\n[法] 强取, 掠夺, 掠夺性"
rape,reip,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔\nvt. 掠夺, 抢夺, 强奸"
raped,,vbl. 强暴
rapeseed,'reipsi:d,n. 油菜籽
raphe,'reifi,"[医] 缝[际], 种脊(植)"
rapid,'ræpid,"a. 迅速的, 飞快的, 急促的, 陡的\nn. 急流"
rapidity,rә'piditi,"n. 迅速, 急速, 速度"
rapidly,'ræpidli,"adv. 飞快地, 迅速地, 赶紧地"
rapier,'reipjә,n. 双刃长剑
raping,reipɪŋ,"v. 以暴力夺取, 强夺( rape的现在分词 ); 强奸"
rapist,'reipist,n. 强奸犯\n[法] 强奸犯
rappel,ræ'pel,n. 绕绳下降
rapper,'ræpә,"n. 敲门人, (美)(非正式)控告人, 证人, 检举人\n[机] 敲杆"
rapping,'ræpiŋ,"[机] 轻敲, 起模"
rapport,ræ'pɒ:,"n. 关系, 融洽, 一致\n[医] 关系, 协调(病人与医师间), 感通(唯心的灵交术时)"
rapporteur,.ræpɒ:'tә:,"n. 做报告者, 大会报告起草人\n[法] 负责整理编辑报告者, 主要起草人"
rapprochement,ræ'prɔʃmә:ŋ,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
rapt,ræpt,"a. 全神贯注的, 入迷的, 出神的\nrap的过去式和过去分词"
raptly,,全神贯注地
raptor,'ræptә(r),n. 猛禽
rapture,'ræptʃә,"n. 兴高采烈, 着迷, 欢天喜地, 狂喜\nvt. 使狂喜"
rapturous,'ræptʃәrәs,"a. 兴高采烈的, 狂喜的, 欢天喜地的"
rapturously,'ræptʃərəslɪ,"adv. 兴高采烈地, 狂喜地"
rare,rєә,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的\nadv. 非常"
rarefaction,.rєәri'fækʃәn,"n. 稀薄化, 稀薄\n[医] 稀疏[状态], 疏松[状态]"
rarefied,'rєәrifaid,"a. 变成稀薄的, 纯化的, 精炼过的, 崇高的"
rarefy,'rєәrifai,"vt. 使稀少, 使稀薄, 使纯化, 精炼\nvi. 变稀少, 变稀薄"
rarely,'rєәli,"adv. 很少地, 罕有地"
rarified,'reәrifaid,"a. 纯净的, 稀薄的"
rarity,'rєәrәti,"n. 稀罕, 罕有, 珍奇, 稀薄"
rasa,'rʌsɜː," [人名] 拉萨, 拉莎（女名）; [地名] [马来西亚] 叻思（拉沙）"
rascal,'ræskl,"n. 流氓, 无赖, 坏蛋, 淘气鬼\n[法] 流氓, 无赖, 恶棍"
rascally,'ræskli,"a. 无赖的, 恶棍的, 不诚实的\nadv. 无赖地"
rash,ræʃ,"a. 轻率的, 匆忙的, 鲁莽的\nn. 皮疹"
rasher,'ræʃә,n. 熏肉薄片
rashly,'ræʃli,adv. 轻率地
rashness,'ræʃnis,"n. 轻率, 不瞻前顾后"
rasp,ræsp,"n. 粗锉刀, 刺耳声\nvt. 用粗锉刀锉, 粗声粗气地说\nvi. 粗锉, 锉磨, 发刺耳声"
raspberry,'ræzbәri,"n. 悬钩子, 呸声\n[化] 覆盆子; 悬钩子"
rasping,'ræspiŋ,"a. 锉磨声的, 令人焦躁的"
raspy,'ræspi,"a. 刺耳的, 粗糙的, 易怒的"
Rastafarian,'ræstə'fεəriən,"n. 拉斯特法里派成员（西印度群岛的前埃塞俄比亚皇帝海尔塞拉西的狂热崇拜者, 鼓吹好斗的黑人民族主义）\na. （牙买加）拉斯特法里教的"
raster,'ræstә,n. 光栅\n[电] 试映图
rat,ræt,"n. 鼠, 卑鄙的人, 破坏者, 变节者\nvi. 捕鼠, 变节\nvt. 弄蓬松"
rata,, ——见 pro rata
ratatouille,ˌrætə'tu:ɪ,n. 蔬菜杂烩
ratchet,'rætʃit,"n. 棘轮, 棘爪\n[机] 棘轮, 棘齿轮"
ratcheting,'rætʃitiŋ,"棘轮效应, 齿合, 联轴节, 离合器"
rate,reit,"n. 比率, 率, 速度, 价格, 费用, 等级\nvt. 估价, 认为, 鉴定等级, 责骂\nvi. 被评价, 责骂"
rated,'reitid,[电] 额定的
ratepayer,'reit.peiә,n. 地方税纳税人
rater,'reitә,n. 定价人
rather,'ræðә,"adv. 宁可, 稍微, 相当"
rathole,'ræthәul,"n. 被鼠咬成的洞, 鼠穴"
ratification,.rætifi'keiʃәn,"n. 批准, 承认, 认可\n[经] 追认, 批准"
ratifier,'rætifaiә,"n. 批准者\n[法] 批准者, 认可者"
ratify,'rætifai,"vt. 批准, 认可\n[经] 证实, 肯定, 确认"
rating,'reitiŋ,"n. 等级, 额定功率, 责骂\n[经] 等级评定"
ratio,'reiʃәu,"n. 比, 比率\n[医] 比, 比率, 比例"
ratiocination,.rætiɒsi'neiʃәn,"n. 推理, 推论"
ration,'ræʃәn,"n. 定额, 定量, 配给\nvt. 配给, 定量供应"
rational,'ræʃәnl,"a. 理性的, 合理的\nn. 有理数"
rationale,.ræʃә'nɑ:li,"n. 基本原理\n[医] 原理, 理论"
rationalism,'ræʃәnәlizm,"n. 合理主义, 理性论, 纯理论"
rationalist,'ræʃәnәlist,"n. 理性论者, 纯理论者, 理性主义者"
rationalistic,.ræʃәn'listik,"a. 纯理论的, 理性主义的"
rationality,.ræʃә'næliti,"n. 合理性, 纯理性"
rationalization,",ræʃәnәlai'zeiʃәn",n. 合理化\n[计] 有理化
rationalize,'ræʃәnәlaiz,"vt. 使合理, 合理地处理, 使有理化\nvi. 合理地思考"
rationalized,ˈræʃənəˌlaɪzd,v. 使合理化( rationalize的过去式和过去分词 ); 为错误的或有害的行为找理由
rationally,,adv. 理性地；讲道理地
rationed,ˈræʃənd,"v. 限量供应, 配给供应( ration的过去式和过去分词 )"
rationing,'ræʃәniŋ,n. 定量配给\n[经] 限额配给
rattan,ræ'tæn,"n. 藤, 白藤茎, 藤杖\n[化] 藤材"
rattle,'rætl,"vt. 使嘎嘎响, 喋喋不休地说\nvi. 格格响, 喋喋不休\nn. 格格声, 拨浪鼓, 喋喋不休的话"
rattled,'rætld,"a. 慌乱的, 激动得不知所措的, 愚蠢的"
rattler,'rætlә,"n. (美)响尾蛇, 饶舌的人, (美)(非正式)有轨电车, 磨砖机\n[机] 打磨滚筒"
rattlesnake,'rætlsneik,n. 响尾蛇\n[医] 响尾蛇
rattletrap,'rætltræp,"n. 破马车, 老爷汽车, 破旧不堪的东西\na. 破旧的"
rattling,'rætliŋ,"a. 格格作响的, 轻快的, 很好的\nadv. 很, 非常"
ratty,'ræti,"a. 像老鼠的, 鼠臭的, 破烂的, 易怒的"
raucous,'rɒ:kәs,"a. 沙哑的, 粗声的, 喧闹的"
raucously,'rɔ:kəslɪ,adv. 粗声地; 沙哑地
raunch,rɔ:ntʃ,"粗野, 粗俗"
raunchy,'rɒ:ntʃi,"a. 不整洁的, 不修边幅的, 肮脏的, 淫秽的"
ravage,'rævidʒ,"n. 破坏, 蹂躏\nv. 毁坏, 破坏, 掠夺"
ravaged,ˈrævɪdʒd,v. 毁坏( ravage的过去式和过去分词 ); 蹂躏; 劫掠; 抢劫
ravages,,"n. 劫掠后的残迹, 破坏的结果, 毁坏后的残迹"
ravaging,ˈrævɪdʒɪŋ,v. 毁坏( ravage的现在分词 ); 蹂躏; 劫掠; 抢劫
rave,reiv,"n. 狂吼, 狂暴\nv. 愤怒地说, 叫嚷, 咆哮"
ravel,'rævәl,"vt. 使纠缠, 使混乱, 拆开, 弄清\nvi. 散开, 解除\nn. 纠缠的一团, 散纱"
raveled,ˈrævəld,"v. 使纠缠, 变得错综复杂( ravel的过去式和过去分词 ); 磨损"
raven,'reivn,"n. 渡鸦, 掠夺\na. 乌黑的\nv. 掠夺, 狼吞虎咽"
ravening,'rævniŋ,"a. 贪婪地捕食的, 掠食的"
ravenous,'rævinәs,"a. 贪婪的, 饿极的, 狼吞虎咽的"
ravenously,'rævənəslɪ,"adv. 大嚼地, 饥饿地"
raver,'reivә(r),"n. 说胡话的人, 社交场常客"
ravine,rә'vi:n,"n. 峡谷, 冲沟, 溪谷"
raving,'reiviŋ,"a. 胡说的, 疯狂的, 狂暴的\nn. 胡说"
ravioli,rɑvi'әjli,n. 肉馅小方包子
ravish,'ræviʃ,"vt. 强夺, 夺走, 使出神, 强奸\n[法] 强夺, 抢去, 强奸"
ravishing,'ræviʃiŋ,a. 引人入胜的
ravishingly,'ræviʃiŋli,adv. 迷人地；令人神魂颠倒地
raw,rɒ:,"n. 擦伤处, 半成品\na. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的\nvt. 擦伤\n[计] 写后读"
rawboned,'rɒ:bәund,"a. 瘦削的, 骨瘦如柴的"
rawhide,'rɒ:haid,"n. 生皮, 生皮鞭\nvt. (用生皮鞭)抽打"
rawness,'rɒ:nis,"n. 生, 半生不熟, 无经验"
ray,rei,"n. 光线, 射线, 闪烁, 光辉\nvi. 射出光线, 浮现, 放射光线\nvt. 放射, 显出"
rayon,'reiɒn,n. 人造丝\n[化] 人造纤维; 人造丝
raze,reiz,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
razing,reɪzɪŋ,"v. 彻底摧毁, 将…夷为平地( raze的现在分词 )"
razor,'reizә,n. 剃刀\nvt. 剃
razorback,'reizәbæk,"n. 狭尖的背脊, 鳍鲸"
razored,'reɪzə,"vt. 剃, 用剃刀刮\nn. 剃刀"
razz,ræz,"n. 砸舌声\nvt. 冷笑, 嘲弄"
razzmatazz,'ræzmәtæz,"n. 兴奋, 欺人之谈, 狂欢"
RBI,",ɑ:bi:'ai,'ribi","abbr.[棒球] Run Batted In ,打点"
re,ri:,"prep. 关于\nn. 不动产, 房地产\n[计] 赖斯编码"
reabsorb,,[医] 重吸收
reabsorption,",ri:әb'sɔ:pʃәn","n. 重吸收, 重吸收作用\n[医] 重吸收[作用]"
reach,ri:tʃ,"n. 伸出, 延伸, 区域, 范围, 流域, 岬\nvt. 到达, 达到, 伸出, 延伸, 影响\nvi. 达到, 延伸, 伸出手, 传到"
reachable,,[计] 可达的
reaching,ri:tʃɪŋ,"v. 到达( reach的现在分词 ); 联络; 伸出手臂, 延伸"
reacquaint,ˌri:əˈkweɪnt,"vt. 重新认识, 重新熟悉"
reacquire,ˌrɪə'kwaɪə," [医]再获得, 再得到"
react,ri'ækt,"vi. 起反应, 起作用, 反攻\n[医] 应答, 发生反应"
reactance,ri'æktәns,n. 电抗\n[化] 电抗
reactant,ri'æktәnt,n. 反应物\n[化] 反应物
reaction,ri'ækʃәn,"n. 反应, 反作用, 反动\n[医] 反应"
reactionary,ri'ækʃәnәri,"n. 反动分子\na. 反动的, 反动主义的, 反对改革的"
reactivate,ri'æktiveit,v. (使)恢复活动
reactivation,"ri,ækti'veiʃәn","[计] 重激活, 再生\n[医] 复能[作用], 再活化[作用]"
reactive,ri'æktiv,"a. 反动的, 反应的\n[医] 反应的"
reactivity,",ri(:)æk'tiviti","n. 反应, 反动, 反应性, 活动性, 反应率\n[医] 反应性"
reactor,ri'æktә,"n. 反应者, 反应器, 反应堆, 电抗器\n[化] 反应釜; 反应锅"
read,ri:d,"v. 读, 阅读, 理解\na. 有学问的\nn. 读取, 阅读\n[计] 读取"
readability,.ri:dә'biliti,"n. 易读, 可读性\n[计] 可读性"
readable,'ri:dәbl,"a. 值得一读的, 易读的, 读起来津津有味的\n[电] 可读的"
readdress,.ri:ә'dres,"vt. 使重新着手, 更改收信人地址"
reader,'ri:dә,"n. 读者, 读物, 文选, 校对人, 讲师\n[计] 阅读程序; 阅读器"
readership,'ri:dәʃip,"n. 读者, 读者人数"
readily,'redili,"adv. 迅速地, 轻易地, 乐意地"
readiness,'redinis,"n. 预备, 准备, 敏捷"
reading,'ri:diŋ,"n. 阅读, 知识, 读物\na. 阅读的"
readjust,.ri:ә'dʒʌst,"vt. 重新调整, 再调整\n[法] 再整理, 再调整"
readjustment,ri:ә'dʒʌstmәnt,"n. 再整理, (使)重新进入正常状态/正常位置, 再调整, (使)重新适应\n[化] 重调; 重新调整"
readmission,",ri:әd'miʃәn",n. 重新接纳
readmit,.ri:әd'mit,vt. 重新接纳
readout,'ri:daut,"n. 宣读, 读出\n[电] 读出"
ready,'redi,"n. 预备好的状态, 现款\na. 准备好的, 备用的, 可以使用的\nadv. 预先, 迅速\nvt. 使准备好"
readymade,,"n. <准备好>杂志, 美国"
reaffirm,.ri:ә'fә:m,"vt. 重申, 再确认"
reaffirmation,'ri:.æfә'meiʃәn,"n. 再断言, 再确认"
Reaganesque,",reiɡə'nesk",a. (美国前总统)里根式的(属于或类似里根总统政策的)
Reaganite,'reiɡənait,n. (美国前总统)里根工作班子成员
reagent,ri:'eidʒәnt,"n. 试剂, 反应物\n[化] 试剂"
real,'riәl,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的\nn. 实数, 现实\nadv. 真正地"
realign,",riә'lain","vt.vi. 重新排列, 重新组合"
realignment,",ri:ә'lainmәnt","n. 重新排列, 改组, 重新组合\n[计] 重新调整"
realism,'riәlizm,"n. 写实主义, 现实, 实在论\n[法] 现实主义"
realist,'riәlist,"n. 现实主义者, 写实主义者, 实在论者"
realistic,riә'listik,"a. 现实的, 逼真的, 现实主义的, 实在论的"
realistically,riә'listikli,"adv. 写实地, 逼真地, 现实地"
reality,ri'æliti,"n. 实在, 事实, 实体, 逼真\n[法] 现实, 实在存在的事物, 实在性"
realizable,'riәlaizәbl,"a. 可实现的, 可实行的, 可感觉的\n[法] 可实现的, 可实行的, 可变卖的"
realization,.riәlai'zeiʃәn,"n. 实现, 领悟, 实得\n[医] 现实化, 实现"
realize,'riәlaiz,"vt. 了解, 实现, 使显得逼真, 变卖\nvi. 变卖"
realized,,a. 实现的；已实现
reallocate,ri:'ælәkeit,[经] 重新分派
reallocation,,[计] 再分配
really,'riәli,"adv. 实际上, 真实地, 实在"
realm,relm,"n. 王国, 领土, 领域\n[计] 领域"
realness,,n. 真诚；真实性
realpolitik,rei'ɑ:lpәuli'ti:k,"n. <德>权力政治, 现实政治"
realtor,'riәltә,n. 房地产经纪人\n[法] 房地产经纪人
realty,'ri:lti,"n. 不动产, 房地产\n[经] 不动产, 房地产"
ream,ri:m,"n. 令, 大量\nvt. 扩(孔), 榨取, 挖"
reamer,'ri:mә,"n. 钻孔器, 铰刀, 果汁压榨器\n[化] 铰刀; 铰床"
reaming,'ri:miŋ,[机] 纹孔
reanalysis,'ri:nələsɪs," [计]再分析, 重新分析"
reanimate,ri:'ænimeit,"vt. 使复活, 鼓舞, 鼓励\n[医] 复苏, 回苏"
reanimation,.ri:æni'meiʃәn,"n. 复活, 鼓舞, 鼓励"
reap,ri:p,"vt. 收割, 收获, 获得\nvi. 收割, 得到报应"
reaper,'ri:pә,"n. 收割者, 收割机"
reappear,.ri:ә'piә,vi. 再出现
reappearance,.ri:ә'piәrәns,n. 再现
reapplication,ri:æplɪ'keɪʃən,"n. 再运用, 再申请"
reappoint,.ri:ә'pɒint,"vt. 再任命, 使复职, 重新约定\n[法] 重新任命, 重新委任, 重新约定"
reappointment,ˌri:ə'pɔɪnmənt,"n. 连任, 复职"
reapportionment,,[经] 再分摊
reappraisal,.ri:ә'preizl,"n. 重新估计, 重新评价\n[经] 重新估价"
reappraise,.ri:ә'preiz,"vt. 重新评估, 重新评价"
reappropriation,",ri:ә,prәupri'eiʃәn","重拨款, 延长拨款"
rear,riә,"n. 后面, 背后, 后方\na. 后面的, 背面的, 后方的\nvt. 养育, 培养, 饲养, 举起, 树立, 栽种\nvi. 高耸, 暴跳"
rearguard,ˈrɪəgɑ:d,n. 后卫
rearing,,n. 饲养；抚养；养育
rearm,ri:'ɑ:m,"v. 重整军备, 重新武装"
rearmament,.ri:'ɑ:mәmәnt,"n. 重整军备, 改良装备"
rearmost,'riәmәust,a. 最后的
rearrange,.ri:ә'reindʒ,"vt. 再排列, 重新整理\n[计] 重新排列; 重新整理"
rearrangement,",ri:ә'reindʒmәnt","[计] 重排, 重列\n[化] 重排"
rearranging,ˌri:ə'reɪndʒɪŋ,v. 重新安排( rearrange的现在分词 ); 重新布置; 改变既定的（计划等）; 做无用功
rearticulate,",ri:ɑ:'tikjuleit",vt. 再次阐明
rearview,'riәvju:,mirror(车辆上的)后视镜
rearward,'riәwәd,"adv. 在背后, 向后方\nn. 后方, 后部, 背后\na. 向后方的, 在末尾的"
reason,'ri:zn,"n. 理由, 原因, 理智, 道理, 前提, 理性\nvt. 说服, 推论, 辩论\nvi. 推论, 劝说, 思考"
reasonable,'ri:znәbl,"a. 合理的, 明理的, 适当的\n[法] 合理的, 公道的, 正当的"
reasonableness,,[计] 合理性
reasonably,'ri:znәbli,"adv. 适度地, 相当地"
reasoned,'ri:z(ә)nd,"a. 思路清晰的, 言之有据的"
reasoner,, [人名] 里森纳
reasoning,'ri:zniŋ,"n. 推论, 推理, 论证\n[化] 推理"
reassemble,.ri:ә'sembl,"vt. 重新召集, 重新装配\nvi. 重新集合"
reassembly,,[计] 重组
reassert,.ri:ә'sә:t,"vt. 再断言, 重复主张"
reassertion,.ri:ә'sә:ʃәn,n. 再主张
reassess,.ri:ә'ses,"vt. 再评价, 再摊派, 再课税"
reassessment,,[经] 重新估价
reassign,.ri:ә'sain,"vt. 再分配, 再指定\n[经] 转交, 转让"
reassignment,,"[计] 重赋值, 再赋值"
reassume,.ri:ә'sju:m,"vt. 再采取, 再接受, 再假定"
reassurance,.ri:ә'ʃurәns,"n. 安心, 放心, 再保证"
reassure,.ri:ә'ʃuә,"vt. 使...安心, 向...再保证\n[法] 重新保证, 再保险, 使清除疑虑"
reassured,",ri:ə'ʃuəd","a. 使消除疑虑的; 使放心的\nv. 再保证, 恢复信心( reassure的过去式和过去分词)"
reassuring,.ri:ә'ʃuriŋ,"a. 安心的, 可靠的, 鼓励的"
reassuringly,ˌri:ə'ʃʊərɪŋlɪ,"adv. 安慰地, 鼓励地"
reawaken,ri:ә'weikәn,vi.再度觉醒
reawakening,,v. 再度觉醒( reawaken的现在分词 )
rebalancing,, [财]调整资金组合
rebate,ri'beit,"n. 部分退款, 折扣\nvt. 退还, 打折扣\nvi. 退还部分付款"
rebbe,ˈrebə,"n. 先生, 老师（犹太人的尊称）； （尤指犹太教虔敬派的）拉比"
rebel,'rebl,"n. 叛徒, 反叛者\nvi. 造反, 反抗, 抵抗, 反感\na. 造反的, 反抗的"
rebellion,ri'beljәn,"n. 谋反, 叛乱, 反抗\n[法] 造反, 反叛, 叛乱"
rebellious,ri'beljәs,"a. 造反的, 反抗的\n[法] 造反的, 反抗的, 反判的"
rebelliously,rɪ'beljəslɪ,"adv. 造反地, 难以控制地"
rebelliousness,rɪ'beljəsnəs,"n. 造反, 难以控制"
rebirth,.ri:'bә:θ,"n. 再生, 复活, 新生"
reboot,ri:'bu:t,[计] 重新启动
reborn,.ri:'bɒ:n,"a. 再生的, 更新的"
rebound,ri'baund,"vi. 弹回, 返回, 产生事与愿违的结果\nvt. 使弹回, 使返回\nn. 反弹, 返回, 篮板球, 振作\nrebind的过去式和过去分词"
rebounding,riˈbaundiŋ,n. 蹦跳运动\nv. 弹回( rebound的现在分词 ); 反弹; 产生反作用; 未能奏效
rebroadcast,.ri:'brɒ:dkɑ:st,"v. 转播, 重播\nn. 转播, 重播"
rebuff,ri'bʌf,"n. 断然拒绝, 严厉拒绝, 漠不关心\nvt. 严厉拒绝"
rebuild,ri'bild,"vt. 改建, 重建, 改造\nvi. 重建"
rebuilder,ri:'bildә,重建者
rebuilding,,n. 重建
rebuilt,,rebuild的过去式和过去分词\n[经] 重新组装
rebuke,ri'bju:k,"n. 指责, 谴责, 非难\nvt. 斥责, 指责, 制止"
reburial,,再掩埋
rebury,ri'beri,"v. 再埋葬, 重新埋葬"
rebus,'ri:bәs,"n. 谜, 画谜"
rebut,ri'bʌt,"vi. 反驳\nvt. 辩驳, 反驳, 揭露"
rebuttable,,"a. 可辩驳的, 可驳回的, 可反驳的\n[法] 可反驳的, 可辩驳的, 举出反证的"
rebuttal,ri'bʌtәl,"n. 辩驳, 驳回, 反驳, 反驳的证据, 反证\n[法] 辩驳, 反驳, 驳回"
REC,,"[计] 接收, 记录, 恢复, 补偿, 娱乐"
recalcitrance,ri'kælsitrәns,"n. 反抗, 不服从, 顽抗"
recalcitrant,ri'kælsitrәnt,"a. 反抗的, 反对的, 顽抗的\nn. 反抗者, 顽抗者"
recalculate,ri:'kælkjuleit,"vt. 重新计算, 重新估计"
recalculation,ri:'kælkjuleiʃәn,n. 重算\n[计] 重算
recalibration,,"[计] 重新校准, 再校准"
recall,ri'kɒ:l,"n. 回忆, 召回, 撤消\nvt. 回想, 回忆, 召回, 撤消, 使恢复\n[计] 检索"
recalled,riˈkɔ:ld,v. 回忆起( recall的过去式和过去分词 ); 使想起; 使想到; 勾起
recalling,riˈkɔ:lɪŋ,v. 回忆起( recall的现在分词 ); 使想起; 使想到; 勾起
recant,ri'kænt,"vt. 放弃\nvi. 放弃信仰, 撤回声明, 公开认错"
recantation,.ri:kæn'teiʃәn,"n. 放弃信仰, 改变论调"
recap,ri:'kæp,vt. 翻新胎面\nn. 翻新的轮胎
recapitalization,"ri:,kæpitәlai'zeiʃәn;-li'z-","n. 调整资本\n[经] 调整资本, 改变资本的构成"
recapitalize,ri:'kæpitәlaiz,vt. 调整...的资本
recapitulate,.ri:kә'pitjuleit,"v. 重述要点, 概括, 摘要"
recapitulation,ri:kәpitjj'leiʃ(ә)n,"n. 重述要点, 概括, 摘要\n[医] 再演, 重演"
recapture,.ri:'kæptʃә,"n. 取回, 夺回\nvt. 再捕获, 夺回, 重温"
recast,.ri:'kɑ:st,"vt. 重铸, 重作, 改造\nn. 重铸, 改换角色"
recasting,,[机] 重铸
recede,ri'si:d,"vi. 向后退, 退却, 收回, 降低, 减弱\n[医] 退缩"
receding,riˈsi:dɪŋ,v. 逐渐远离( recede的现在分词 ); 向后倾斜; 自原处后退或避开别人的注视; 尤指问题
receipt,ri'si:t,"n. 收据, 收入, 收到\nvt. 开...的收据"
receivable,ri'si:vәbl,"a. 可接受的, 可收到的\nn. 应收帐款"
receive,ri'si:v,"vt. 收到, 接到, 得到, 接待, 迎接, 承受\nvi. 收到, 会客\n[计] 接收"
received,ri'si:vd,"a. 被一般承认的, 公认的"
receiver,ri'si:vә,"n. 接收器；接受者；收信机；收款员, 接待者"
receivership,ri'si:vәʃip,"[经] 清算人(接收人)办公室, 清算人职能"
receiving,ri'si:viŋ,[计] 接收
recency,'ri:snsi,"n. 崭新, 新近"
recent,'ri:snt,"a. 最近的, 近代的, 最新的\n[经] 最近的, 新进的"
recently,'ri:sntli,adv. 最近
receptacle,ri'septәkl,"n. 容器, 花托, 插座\n[医] 容器, [接]受器, 花托"
reception,ri'sepʃәn,"n. 接待, 接受, 招待会\n[医] 接受, 感受"
receptionist,ri'sepʃәnist,n. 接待员
receptive,ri'septiv,"a. 能接纳的\n[医] 接受的, 感受的"
receptiveness,rɪ'septɪvnəs, 感受性
receptivity,.ri:sep'tiviti,"n. 感受性, 接受能力"
receptor,ri'septә,"n. 受体, 感觉器官\n[化] 接受器; 受体"
recertification,"'ri:,s\\\\:tifi'keiʃәn",n. 换发新证
recess,ri'ses,"n. 休息, 休会, 放假, 凹进处, 深处\nvt. 使凹进\nvi. 休假, 休息"
recessed,,a. 嵌壁式的；深底的
recession,ri'seʃәn,"n. 后退, 凹处, 衰退, 归还\n[医] 退缩"
recessional,ri'seʃәnl,"a. 归还的, 后退的, (基督教仪式结束时)唱的, (议会)休会的\nn. 退场乐曲"
recessionary,ri'seʃәnәri,"a. (经济)衰退的, 衰退期的"
recessive,ri'sesiv,"a. 后退的, 逆行的, 隐性的\nn. 隐性性状"
recharge,ri:'tʃɑ:dʒ,"vt. 再充电, 再装填, 再控告, 再袭击\nvi. 再袭击\nn. 再袭击, 再装填"
rechargeable,,[电] 接充电
recharged,ri:ˈtʃɑ:dʒd,v. 充电( recharge的过去式和过去分词 ); 给（枪）再装弹药; 养精蓄锐; 休整
recharger,,[化] 再装填器
recharging,rɪ'tʃa:dʒɪŋ,v. 充电( recharge的现在分词 ); 给（枪）再装弹药; 养精蓄锐; 休整
rechristen,ri:'krisn,"vt. 再度命名, 重新命名, 改名"
recidivism,ri'sidivizm,"n. 累犯\n[医] 复发趋向, 再发趋向, 再犯趋向"
recidivist,ri'sidivist,"n. 惯犯\n[医] 复发者, 再犯罪者, 累犯"
recipe,'resipi,"n. 食谱, 处方, 秘诀\n[医] 取(处方头语), 处方"
recipient,ri'sipiәnt,"a. 领受的, 容易接受的, 感受性强的\nn. 领受者, 容纳者, 容器"
reciprocal,ri'siprәkl,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的\nn. 倒数, 互相起作用的事物"
reciprocally,,adv. 相互地；相反地；互惠地
reciprocate,ri'siprәkeit,"vt. 回报, 互换, 交换, 报答, 使往复运动\nvi. 往复运动, 回报, 互换, 酬答"
reciprocated,rɪˈsɪprəˌkeɪtid,"v. 报答, 酬答( reciprocate的过去式和过去分词 ); （机器的部件）直线往复运动"
reciprocating,ri'siprәkeitiŋ,"[医] 交互的, 往复的"
reciprocation,ri.siprә'keiʃәn,"n. 交互作用, 交换, 往复运动\n[电] 互易法"
reciprocity,.resi'prɒsiti,"n. 相互性, 相互作用, 互惠主义\n[经] 互惠性, 相关性"
recirculate,ri'sә:kjuleit,[计] 重循环\n[化] 循环; 再循环
recirculated,,a. 再循环的\nv. 再循环（recirculate的过去式和过去分词）
recirculating,rɪ'sɜ:kjʊleɪtɪŋ, 再循环
recirculation,",ri:'s\\\\:kjj'leiʃәn","[计] 信息再循环\n[医] 再循环, 再流转"
recision,ri'siʒәn,"n. 取消, 废除"
recital,ri'saitl,"n. 背诵, 吟诵, 详述\n[法] 叙述, 评述, 列举"
recitation,.resi'teiʃәn,"n. 详述, 吟诵, 背诵的诗\n[法] 叙述, 评述, 书面陈述"
recitative,'resiteitiv,"a. 吟诵的, 背诵的, 叙述的"
recite,ri'sait,"v. 背诵, 朗读, 叙述"
reckless,'reklis,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的\n[法] 不注意的, 粗心大意的, 鲁莽的"
recklessly,,"adv. 不注意, 粗心大意, 不在乎, 鲁莽, 不顾后果, 不顾一切, 妄动"
recklessness,,"[法] 鲁莽, 粗心大意"
reckon,'rekәn,"vt. 计算, 总计, 估计, 认为, 猜想\nvi. 数, 计算, 估计, 依赖, 料想"
reckoning,'rekәniŋ,"n. 计算, 算帐, 清算\n[经] 计算, 算帐, 估计"
